H2_Resource,Zone,Commit,New_Build,etaG2P_MWh_p_tonne,Inv_Cost_p_MW_p_yr,Fixed_OM_p_MW_yr,Var_OM_Cost_p_MWh,Max_Cap_MW,Min_Cap_MW,Existing_Cap_MW,Cap_Size_MW,Ramp_Up_Percentage,Ramp_Down_Percentage,G2P_min_output,Start_Cost_per_MW,Up_Time,Down_Time
CCGT-H2_21.0,21.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_21.0,21.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_22.0,22.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_22.0,22.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_23.0,23.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_23.0,23.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_24.0,24.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_24.0,24.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_25.0,25.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_25.0,25.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_26.0,26.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_26.0,26.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_27.0,27.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_27.0,27.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_28.0,28.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_28.0,28.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_29.0,29.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_29.0,29.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_30.0,30.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_30.0,30.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_31.0,31.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_31.0,31.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_32.0,32.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_32.0,32.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_33.0,33.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_33.0,33.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_34.0,34.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
Fuel_cell_34.0,34.0,0,1,19.98,83055.25,28895.69,0.0,100,0,0,1,1.0,1.0,0.1,0,1,1
CCGT-H2_35.0,35.0,0,1,21.645,66937.49,11609.0,1.79,10000000,0,0,10,0.7,0.7,0.3,0,2,1
