Zone_name,Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,Line_Max_Flow_MW,transmission_path_name,distance_km,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1,bus0,bus1,bus0_x,bus0_y,bus1_x,bus1_y
DE1 0,z1,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4362.853663,DE1 0_to_DE1 11,192.8397702,0.012052486,20000,9160.770253,0.95,0,0,DE1 0,DE1 11,8.585665972,49.23105928,8.059747295,47.88802187
DE1 1,z2,2,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15060.90012,DE1 0_to_DE1 12,140.5648017,0.0087853,20000,6677.470382,0.95,0,0,DE1 0,DE1 12,8.585665972,49.23105928,9.580929922,48.46048444
DE1 10,z3,3,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3566.015485,DE1 0_to_DE1 18,163.1217338,0.010195108,20000,7749.02773,0.95,0,0,DE1 0,DE1 18,8.585665972,49.23105928,6.961294781,49.74481059
DE1 11,z4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9117.540976,DE1 0_to_DE1 7,117.9002226,0.007368764,20000,5600.799309,0.95,0,0,DE1 0,DE1 7,8.585665972,49.23105928,8.614807726,50.07909121
DE1 12,z5,5,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377.343656,DE1 1_to_DE1 14,176.6681518,0.011041759,20000,8392.544485,0.95,0,0,DE1 1,DE1 14,9.745630895,51.04223934,11.75030038,51.22456746
DE1 13,z6,6,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377.343656,DE1 1_to_DE1 15,172.8122916,0.010800768,20000,8209.373508,0.95,0,0,DE1 1,DE1 15,9.745630895,51.04223934,10.35871363,52.2258987
DE1 14,z7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377.343656,DE1 1_to_DE1 7,167.0025114,0.010437657,20000,7933.382401,0.95,0,0,DE1 1,DE1 7,9.745630895,51.04223934,8.614807726,50.07909121
DE1 15,z8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4754.687313,DE1 1_to_DE1 9,161.3192882,0.010082456,20000,7663.403327,0.95,0,0,DE1 1,DE1 9,9.745630895,51.04223934,8.718996773,52.01133541
DE1 16,z9,9,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377.343656,DE1 10_to_DE1 16,111.3092027,0.006956825,20000,5287.695749,0.95,0,0,DE1 10,DE1 16,8.442956595,53.18344976,7.383087925,52.70033778
DE1 17,z10,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3971.020013,DE1 10_to_DE1 5,129.4868617,0.008092929,20000,6151.217615,0.95,0,0,DE1 10,DE1 5,8.442956595,53.18344976,9.656115621,53.77222271
DE1 18,z11,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593.676357,DE1 10_to_DE1 9,164.5745525,0.01028591,20000,7818.043255,0.95,0,0,DE1 10,DE1 9,8.442956595,53.18344976,8.718996773,52.01133541
DE1 19,z12,12,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4754.687313,DE1 11_to_DE1 12,161.8963819,0.010118524,20000,7690.817917,0.95,0,0,DE1 11,DE1 12,8.059747295,47.88802187,9.580929922,48.46048444
DE1 2,z13,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3964.434574,DE1 11_to_FR1 17,91.49946478,0.005718717,20000,4346.642678,0.95,0,0,DE1 11,FR1 17,8.059747295,47.88802187,7.098681163,48.02632462
DE1 3,z14,14,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377.343656,DE1 12_to_DE1 19,223.2780571,0.013954879,20000,10606.72797,0.95,0,0,DE1 12,DE1 19,9.580929922,48.46048444,10.72308407,49.88281742
DE1 4,z15,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5551.525491,DE1 12_to_DE1 4,168.4000708,0.010525004,20000,7999.772859,0.95,0,0,DE1 12,DE1 4,9.580929922,48.46048444,11.39973609,48.35883243
