Resource,Zone,THERM,STOR,HYDRO,FLEX,MUST_RUN,VRE,LDS,Num_VRE_Bins,CapRes_1,ESR_1,ESR_2,Resource_Type,region,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Min_Cap_MW,Max_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,cluster,MGA,R_ID,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Self_Disch,Eff_Up,Eff_Down
DE1 1 ror,2,0,0,0,0,1,0,0,0,0,0,0,ror,DE1 1,4.782,0,0,0,0,-1,0,0,0,0,125442.2265,60000,0,0,0,0,0,0,3.791111111,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,1,0,0,0,0
DE1 1 solar,2,0,0,0,0,0,1,0,1,0,0,0,solar,DE1 1,859.184064,0,0,1,0,11725.59431,0,0,0,0,38407.17767,25000.002,0,0,0,0,0.01,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,1,0,0,0,0
DE1 10 CCGT,3,1,0,0,0,0,0,0,0,0,0,0,CCGT,DE1 10,961.8,0,0,1,0,-1,0,0,0,0,46264.07931,20000,0,0,0,0,4,0,6.661622941,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,500,0,1.18,2,1,0.7,0.7,0.3,0,0,0
DE1 10 OCGT,3,1,0,0,0,0,0,0,0,0,0,0,OCGT,DE1 10,543.58,0,0,1,0,-1,0,0,0,0,23132.03965,15000,0,0,0,0,3,0,9.826017884,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,100,0,1.88,1,1,1,1,0.25,0,0,0
DE1 10 biomass,3,1,0,0,0,0,0,0,0,0,0,0,biomass,DE1 10,45.92,0,0,0,0,-1,0,0,0,0,127746.689,99999.99415,0,0,0,0,0,0,10.03529412,biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,100,0,4.3,2,1,0.3,0.3,0.1,0,0,0
DE1 10 coal,3,1,0,0,0,0,0,0,0,0,0,0,coal,DE1 10,2229.243561,0,0,0,0,-1,0,0,0,0,65680.53612,24999.988,0,0,0,0,6,0,9.97307352,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,650,3581,4.00307692,3,1,0.3,0.3,0.3,0,0,0
DE1 10 offwind-ac,3,0,0,0,0,0,1,0,1,0,0,0,offwind-ac,DE1 10,0,0,0,1,0,1323.158019,0,0,0,0,111612.0913,44484.1454,0,0,0,0,2.7,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,1,0,0,0,0
DE1 10 oil,3,1,0,0,0,0,0,0,0,0,0,0,oil,DE1 10,142,0,0,0,0,-1,0,0,0,0,23132.03965,6000,0,0,0,0,0,0,11.81645022,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,650,0,0,1,1,0.3,0.3,0.2,0,0,0
DE1 10 onwind,3,0,0,0,0,0,1,0,1,0,0,0,onwind,DE1 10,2510.3313,0,0,1,0,10063.08028,0,0,0,0,60143.3031,25485.7096,0,0,0,0,2.3,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,1,0,0,0,0
DE1 10 ror,3,0,0,0,0,1,0,0,0,0,0,0,ror,DE1 10,9.9,0,0,0,0,-1,0,0,0,0,125442.2265,60000,0,0,0,0,0,0,3.791111111,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,1,0,0,0,0
DE1 10 solar,3,0,0,0,0,0,1,0,1,0,0,0,solar,DE1 10,1417.558037,0,0,1,0,19645.76774,0,0,0,0,38407.17767,25000.002,0,0,0,0,0.01,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1,1,0,0,0,0
DE1 11 CCGT,4,1,0,0,0,0,0,0,0,0,0,0,CCGT,DE1 11,38.6,0,0,1,0,-1,0,0,0,0,46264.07931,20000,0,0,0,0,4,0,6.661622941,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,500,0,1.18,2,1,0.7,0.7,0.3,0,0,0
DE1 11 OCGT,4,1,0,0,0,0,0,0,0,0,0,0,OCGT,DE1 11,72.68,0,0,1,0,-1,0,0,0,0,23132.03965,15000,0,0,0,0,3,0,9.826017884,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,100,0,1.88,1,1,1,1,0.25,0,0,0
DE1 11 onwind,4,0,0,0,0,0,1,0,1,0,0,0,onwind,DE1 11,233.7185,0,0,1,0,12465.97101,0,0,0,0,60143.3031,25485.7096,0,0,0,0,2.3,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,1,0,0,0,0
DE1 11 ror,4,0,0,0,0,1,0,0,0,0,0,0,ror,DE1 11,628.4368,0,0,0,0,-1,0,0,0,0,125442.2265,60000,0,0,0,0,0,0,3.791111111,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,1,0,0,0,0
DE1 11 solar,4,0,0,0,0,0,1,0,1,0,0,0,solar,DE1 11,1196.065223,0,0,1,0,9026.283408,0,0,0,0,38407.17767,25000.002,0,0,0,0,0.01,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1,1,0,0,0,0
DE1 12 OCGT,5,1,0,0,0,0,0,0,0,0,0,0,OCGT,DE1 12,368.5885,0,0,1,0,-1,0,0,0,0,23132.03965,15000,0,0,0,0,3,0,9.826017884,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,100,0,1.88,1,1,1,1,0.25,0,0,0
DE1 12 biomass,5,1,0,0,0,0,0,0,0,0,0,0,biomass,DE1 12,48.4,0,0,0,0,-1,0,0,0,0,127746.689,99999.99415,0,0,0,0,0,0,10.03529412,biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,100,0,4.3,2,1,0.3,0.3,0.1,0,0,0
DE1 12 coal,5,1,0,0,0,0,0,0,0,0,0,0,coal,DE1 12,1001.223535,0,0,0,0,-1,0,0,0,0,65680.53612,24999.988,0,0,0,0,6,0,9.97307352,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,650,3581,4.00307692,3,1,0.3,0.3,0.3,0,0,0
DE1 12 nuclear,5,1,0,0,0,0,0,0,0,0,0,0,nuclear,DE1 12,1288,0,0,1,0,-1,0,0,0,0,276194,128794,0,0,0,0,2.65,0,10.44,uranium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1000,1000,0,22,6,0.25,0.25,0.5,0,0,0
DE1 12 oil,5,1,0,0,0,0,0,0,0,0,0,0,oil,DE1 12,553.1,0,0,0,0,-1,0,0,0,0,23132.03965,6000,0,0,0,0,0,0,11.81645022,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,650,0,0,1,1,0.3,0.3,0.2,0,0,0
DE1 12 onwind,5,0,0,0,0,0,1,0,1,0,0,0,onwind,DE1 12,990.443533,0,0,1,0,26637.28744,0,0,0,0,60143.3031,25485.7096,0,0,0,0,2.3,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1,1,0,0,0,0
DE1 12 ror,5,0,0,0,0,1,0,0,0,0,0,0,ror,DE1 12,236.04,0,0,0,0,-1,0,0,0,0,125442.2265,60000,0,0,0,0,0,0,3.791111111,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,1,0,0,0,0
DE1 12 solar,5,0,0,0,0,0,1,0,1,0,0,0,solar,DE1 12,4165.011881,0,0,1,0,21281.76892,0,0,0,0,38407.17767,25000.002,0,0,0,0,0.01,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,1,1,0,0,0,0
DE1 13 CCGT,6,1,0,0,0,0,0,0,0,0,0,0,CCGT,DE1 13,240,0,0,1,0,-1,0,0,0,0,46264.07931,20000,0,0,0,0,4,0,6.661622941,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,500,0,1.18,2,1,0.7,0.7,0.3,0,0,0
DE1 13 OCGT,6,1,0,0,0,0,0,0,0,0,0,0,OCGT,DE1 13,183.45,0,0,1,0,-1,0,0,0,0,23132.03965,15000,0,0,0,0,3,0,9.826017884,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,100,0,1.88,1,1,1,1,0.25,0,0,0
DE1 13 onwind,6,0,0,0,0,0,1,0,1,0,0,0,onwind,DE1 13,184.95324,0,0,1,0,41864.21636,0,0,0,0,60143.3031,25485.7096,0,0,0,0,2.3,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,1,1,0,0,0,0
DE1 13 ror,6,0,0,0,0,1,0,0,0,0,0,0,ror,DE1 13,762.3918,0,0,0,0,-1,0,0,0,0,125442.2265,60000,0,0,0,0,0,0,3.791111111,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1,1,0,0,0,0
DE1 13 solar,6,0,0,0,0,0,1,0,1,0,0,0,solar,DE1 13,4165.847818,0,0,1,0,23249.99608,0,0,0,0,38407.17767,25000.002,0,0,0,0,0.01,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,1,1,0,0,0,0
DE1 14 CCGT,7,1,0,0,0,0,0,0,0,0,0,0,CCGT,DE1 14,1132.4,0,0,1,0,-1,0,0,0,0,46264.07931,20000,0,0,0,0,4,0,6.661622941,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,500,0,1.18,2,1,0.7,0.7,0.3,0,0,0
DE1 14 OCGT,7,1,0,0,0,0,0,0,0,0,0,0,OCGT,DE1 14,236.4,0,0,1,0,-1,0,0,0,0,23132.03965,15000,0,0,0,0,3,0,9.826017884,ng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,100,0,1.88,1,1,1,1,0.25,0,0,0
DE1 14 biomass,7,1,0,0,0,0,0,0,0,0,0,0,biomass,DE1 14,18.1,0,0,0,0,-1,0,0,0,0,127746.689,99999.99415,0,0,0,0,0,0,10.03529412,biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,100,0,4.3,2,1,0.3,0.3,0.1,0,0,0
DE1 14 coal,7,1,0,0,0,0,0,0,0,0,0,0,coal,DE1 14,79.28657826,0,0,0,0,-1,0,0,0,0,65680.53612,24999.988,0,0,0,0,6,0,9.97307352,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,650,3581,4.00307692,3,1,0.3,0.3,0.3,0,0,0
DE1 14 lignite,7,1,0,0,0,0,0,0,0,0,0,0,lignite,DE1 14,2748.973544,0,0,0,0,-1,0,0,0,0,75785.23399,30000,0,0,0,0,7,0,10.07533918,lignite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,650,3581,4.00307692,3,1,0.3,0.3,0.45,0,0,0
DE1 14 oil,7,1,0,0,0,0,0,0,0,0,0,0,oil,DE1 14,212.5,0,0,0,0,-1,0,0,0,0,23132.03965,6000,0,0,0,0,0,0,11.81645022,oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,650,0,0,1,1,0.3,0.3,0.2,0,0,0
